n, time, flops
1, 0.000012, 1
2, 0.000002, 25
3, 0.000052, 58
4, 0.000026, 247
5, 0.000014, 360
6, 0.000017, 568
7, 0.000019, 809
8, 0.000066, 2017
9, 0.000089, 2434
10, 0.000087, 2970
11, 0.000099, 3611
12, 0.000128, 4624
13, 0.000124, 5537
14, 0.000129, 6545
15, 0.000161, 7778
16, 0.000559, 15271
17, 0.000490, 16872
18, 0.000526, 18496
19, 0.000575, 20513
20, 0.000974, 22590
21, 0.000624, 25071
22, 0.000591, 27455
23, 0.000617, 30448
24, 0.001096, 34960
25, 0.001743, 38513
26, 0.001708, 41801
27, 0.001702, 45962
28, 0.001543, 49343
29, 0.001128, 54160
30, 0.001419, 58496
31, 0.001069, 64017
32, 0.003755, 111505
33, 0.003537, 117778
34, 0.003678, 123306
35, 0.003837, 130379
36, 0.003952, 135304
37, 0.004209, 143225
38, 0.004007, 150089
39, 0.004564, 158906
40, 0.004221, 165330
41, 0.003804, 175091
42, 0.004675, 183435
43, 0.004505, 194188
44, 0.004472, 200897
45, 0.004610, 212690
46, 0.004836, 222658
47, 0.005010, 235539
48, 0.006477, 255088
49, 0.007320, 269105
50, 0.006811, 280841
51, 0.006415, 296042
52, 0.007141, 304775
53, 0.007011, 321208
54, 0.007478, 334856
55, 0.006844, 352569
56, 0.007165, 359513
57, 0.007989, 378554
58, 0.007967, 394258
59, 0.007516, 414675
60, 0.008154, 425672
61, 0.007510, 447513
62, 0.008050, 465417
63, 0.008359, 488730
64, 0.025336, 798967
65, 0.024814, 823800
66, 0.025659, 844048
67, 0.024925, 870449
68, 0.026151, 883950
69, 0.025679, 911967
70, 0.025971, 934703
71, 0.025623, 964384
72, 0.027119, 970456
73, 0.026647, 1001849
74, 0.026495, 1027217
75, 0.026911, 1060370
76, 0.027465, 1076615
77, 0.027099, 1111576
78, 0.027626, 1139720
79, 0.027412, 1176537
80, 0.030287, 1186110
81, 0.030087, 1224831
82, 0.029821, 1255895
83, 0.030232, 1296568
84, 0.030162, 1315797
85, 0.030899, 1358470
86, 0.030701, 1392598
87, 0.031048, 1437319
88, 0.031839, 1441127
89, 0.031238, 1487944
90, 0.031854, 1525280
91, 0.031905, 1574241
92, 0.032119, 1596694
93, 0.032860, 1647847
94, 0.032694, 1688535
95, 0.032996, 1741928
96, 0.046836, 1827088
97, 0.046991, 1882769
98, 0.046939, 1926953
99, 0.047625, 1984970
100, 0.046580, 2010887
101, 0.047178, 2071288
102, 0.046986, 2119112
103, 0.047192, 2181945
104, 0.048365, 2182097
105, 0.048242, 2247410
106, 0.049126, 2299018
107, 0.049277, 2366859
108, 0.050652, 2396480
109, 0.049420, 2466897
110, 0.050670, 2522433
111, 0.050302, 2595474
112, 0.052847, 2573039
113, 0.052539, 2648752
114, 0.053090, 2708360
115, 0.053489, 2786793
116, 0.053739, 2820358
117, 0.055067, 2901559
118, 0.054317, 2965383
119, 0.054895, 3049400
120, 0.056129, 3044504
121, 0.055041, 3131385
122, 0.056679, 3199569
123, 0.057713, 3289362
124, 0.057306, 3327111
125, 0.058058, 3419864
126, 0.058260, 3492552
127, 0.059014, 3588313
128, 0.178444, 5666497
129, 0.180012, 5765314
130, 0.184838, 5842650
131, 0.185206, 5944571
132, 0.183120, 5986744
133, 0.183113, 6091817
134, 0.245546, 6173945
135, 0.205233, 6282218
136, 0.185358, 6270882
137, 0.184441, 6382403
138, 0.184647, 6469467
139, 0.186162, 6584284
140, 0.184360, 6631121
141, 0.234622, 6749282
142, 0.186832, 6841426
143, 0.188793, 6962979
144, 0.189047, 6886504
145, 0.191502, 7011497
146, 0.193030, 7108865
147, 0.193072, 7237346
148, 0.191186, 7289087
149, 0.195934, 7421104
150, 0.187997, 7523840
151, 0.194032, 7659441
152, 0.193267, 7640273
153, 0.194576, 7779506
154, 0.196631, 7887754
155, 0.196176, 8030667
156, 0.196685, 8087552
157, 0.197052, 8234193
158, 0.198787, 8348097
159, 0.225586, 8498514
160, 0.214810, 8417970
161, 0.218510, 8572211
162, 0.217424, 8691915
163, 0.226143, 8850028
164, 0.219223, 8912297
165, 0.218448, 9074330
166, 0.218891, 9199978
167, 0.220265, 9365979
168, 0.218091, 9337587
169, 0.221900, 9507604
170, 0.223966, 9639340
171, 0.226043, 9813421
172, 0.220190, 9881314
173, 0.227647, 10059507
174, 0.294808, 10197475
175, 0.227129, 10379828
176, 0.224184, 10227281
177, 0.297365, 10413842
178, 0.229043, 10558186
179, 0.232908, 10749003
180, 0.227970, 10822760
181, 0.226082, 11017881
182, 0.225830, 11168745
183, 0.232893, 11368218
184, 0.228098, 11329210
185, 0.233121, 11533083
186, 0.233610, 11690611
187, 0.236000, 11898932
188, 0.236895, 11978793
189, 0.241022, 12191610
190, 0.304673, 12355946
191, 0.244020, 12573307
192, 0.329655, 12955504
193, 0.334724, 13177457
194, 0.335950, 13348745
195, 0.339022, 13575338
196, 0.338064, 13661543
197, 0.338671, 13892824
198, 0.340463, 14071208
199, 0.343932, 14307225
200, 0.336873, 14256209
201, 0.339911, 14497010
202, 0.342721, 14682634
203, 0.345560, 14928267
204, 0.345955, 15021056
205, 0.345865, 15271569
206, 0.344192, 15464577
207, 0.344482, 15720018
208, 0.346701, 15469367
209, 0.348417, 15729784
210, 0.351619, 15930320
211, 0.358493, 16195761
212, 0.351067, 16295374
213, 0.354001, 16565887
214, 0.356875, 16774095
215, 0.356027, 17049728
216, 0.355482, 16985312
217, 0.360484, 17266113
218, 0.363371, 17482137
219, 0.364223, 17768154
220, 0.363408, 17874831
221, 0.389641, 18166112
222, 0.367258, 18390096
223, 0.369981, 18686689
224, 0.380439, 18237065
225, 0.386936, 18539018
226, 0.388398, 18771106
227, 0.392252, 19078467
228, 0.394266, 19192448
229, 0.395794, 19505265
230, 0.398690, 19745601
231, 0.392426, 20063922
232, 0.393696, 19984714
233, 0.385718, 20308587
234, 0.382960, 20557315
235, 0.383178, 20886788
236, 0.399014, 21008313
237, 0.439654, 21343434
238, 0.444994, 21600698
239, 0.383432, 21941515
240, 0.386619, 21570728
241, 0.398358, 21917289
242, 0.399517, 22183233
243, 0.405653, 22535586
244, 0.416621, 22664895
245, 0.419234, 23023088
246, 0.413141, 23297856
247, 0.411857, 23661937
248, 0.426003, 23566545
249, 0.418820, 23936562
250, 0.415209, 24220298
251, 0.415562, 24596299
252, 0.420593, 24733632
253, 0.421948, 25115665
254, 0.418788, 25408513
255, 0.418296, 25796626
256, 1.296968, 39960391
257, 1.302425, 40354632
258, 1.297201, 40656736
259, 1.284461, 41057153
260, 1.305650, 41202750
261, 1.301886, 41609391
262, 1.296071, 41920895
263, 1.285880, 42333808
264, 1.324466, 42220840
265, 1.306248, 42640073
266, 1.281654, 42961121
267, 1.260893, 43386722
268, 1.294014, 43540823
269, 1.459701, 43972840
270, 1.410803, 44303576
271, 1.372184, 44742057
272, 1.391355, 44229102
273, 1.397805, 44674095
274, 1.548031, 45014663
275, 1.441577, 45466216
276, 1.341915, 45629061
277, 1.284421, 46087222
278, 1.292022, 46437766
279, 1.285112, 46902583
280, 1.413988, 46770647
281, 1.497623, 47242168
282, 1.354567, 47602832
283, 1.350798, 48081105
284, 1.344176, 48252934
285, 1.414461, 48738007
286, 1.322102, 49108935
287, 1.323396, 49600856
288, 1.386071, 48578776
289, 1.370378, 49077593
290, 1.357597, 49458929
291, 1.350539, 49964690
292, 1.372171, 50145743
293, 1.440592, 50658496
294, 1.415799, 51050384
295, 1.370502, 51570177
296, 1.479257, 51417881
297, 1.391046, 51944762
298, 1.366755, 52347346
299, 1.356778, 52881363
300, 1.390852, 53071880
301, 1.452241, 53613081
302, 1.374379, 54026505
303, 1.368669, 54574938
304, 1.406653, 53897783
305, 1.431467, 54453496
306, 1.380011, 54877904
307, 1.426439, 55440945
308, 1.415544, 55641166
309, 1.391640, 56211583
310, 1.376262, 56647119
311, 1.367951, 57224960
312, 1.555786, 57050912
313, 1.404712, 57636225
314, 1.381242, 58083033
315, 1.438683, 58675866
316, 1.552625, 58886031
317, 1.418794, 59486432
318, 1.405799, 59944656
319, 1.395619, 60552673
320, 1.553940, 59386590
321, 1.538524, 60002271
322, 1.502627, 60472055
323, 1.502788, 61095448
324, 1.547359, 61315797
325, 1.553856, 61946950
326, 1.514366, 62428438
327, 1.505509, 63067399
328, 1.624891, 62870207
329, 1.539722, 63517024
330, 1.517599, 64010360
331, 1.498129, 64665081
332, 1.516181, 64895854
333, 1.496451, 65558527
334, 1.578257, 66063855
335, 1.549575, 66734528
336, 1.625986, 65871141
337, 1.645873, 66549862
338, 1.637718, 67067326
339, 1.537498, 67754143
340, 1.550174, 67995580
341, 1.534507, 68690541
342, 1.533736, 69220285
343, 1.553326, 69923438
344, 1.574958, 69701710
345, 1.562137, 70413103
346, 1.531256, 70955271
347, 1.527335, 71674952
348, 1.626824, 71927293
349, 1.514174, 72655310
350, 1.531976, 73210046
351, 1.534535, 73946447
352, 1.593141, 72148535
353, 1.589530, 72893368
354, 1.579508, 73460816
355, 1.622540, 74214129
356, 1.609072, 74477614
357, 1.674892, 75239455
358, 1.561558, 75819759
359, 1.546350, 76590176
360, 1.689645, 76342520
361, 1.583960, 77121561
362, 1.568974, 77714865
363, 1.572604, 78502578
364, 1.603181, 78777447
365, 1.609689, 79573880
366, 1.565824, 80180328
367, 1.558324, 80985529
368, 1.629195, 79913878
369, 1.604683, 80727895
370, 1.594968, 81347631
371, 1.570988, 82170512
372, 1.613542, 82457005
373, 1.748761, 83288798
374, 1.641771, 83921966
375, 1.638321, 84762719
376, 1.691249, 84487743
377, 1.625739, 85337504
378, 1.646420, 85984248
379, 1.634881, 86843065
380, 1.649703, 87141422
381, 1.616977, 88009343
382, 1.670025, 88669807
383, 1.590509, 89546880
384, 2.278043, 91352080
385, 2.275795, 92238353
386, 2.253500, 92912681
387, 2.256141, 93808202
388, 2.321067, 94118663
389, 2.263349, 95023480
390, 2.312958, 95711816
391, 2.352940, 96625977
392, 2.291726, 96322289
393, 2.297035, 97245842
394, 2.251984, 97948330
395, 2.268415, 98881323
396, 2.303424, 99204128
397, 2.276941, 100146609
398, 2.311785, 100863393
399, 2.261427, 101815410
400, 2.352172, 100513463
401, 2.291141, 101475064
402, 2.425788, 102206288
403, 2.393630, 103177521
404, 2.347782, 103512910
405, 2.289316, 104493823
406, 2.252413, 105239631
407, 2.280808, 106230272
408, 2.301719, 105896480
409, 2.291658, 106896897
410, 2.318322, 107657433
411, 2.281564, 108667674
412, 2.326869, 109015887
413, 2.304817, 110036000
414, 2.348169, 110811408
415, 2.368005, 111841441
416, 2.341968, 109064321
417, 2.356500, 110104322
418, 2.348618, 110894746
419, 2.299928, 111944763
420, 2.356371, 112306040
421, 2.427324, 113366121
422, 2.345409, 114171705
423, 2.344918, 115241898
424, 2.570758, 114876610
425, 2.353930, 115956963
426, 2.322353, 116777851
427, 2.324706, 117868412
428, 2.460734, 118242993
429, 2.430291, 119343810
430, 2.422716, 120180146
431, 2.325528, 121291267
432, 2.394570, 119736992
433, 2.342341, 120858465
434, 2.374992, 121710393
435, 2.751079, 122842266
436, 2.548892, 123230391
437, 2.355877, 124372712
438, 2.344005, 125240376
439, 2.410209, 126393193
440, 2.473995, 125995017
441, 2.406384, 127158378
442, 2.496898, 128041922
443, 2.443895, 129215875
444, 2.385044, 129617784
445, 2.374781, 130802377
446, 2.374517, 131701945
447, 2.420090, 132897226
448, 2.523722, 128562623
449, 2.515643, 129768640
450, 2.497627, 130684376
451, 2.484150, 131901177
452, 2.679085, 132317110
453, 2.607523, 133544743
454, 2.527248, 134476791
455, 2.498598, 135715304
456, 2.667831, 135282848
457, 2.541133, 136532289
458, 2.513040, 137480793
459, 2.621213, 138741210
460, 2.553299, 139171407
461, 2.581827, 140442848
462, 2.521174, 141407952
463, 2.491778, 142690465
464, 2.560357, 140861830
465, 2.629856, 142155463
466, 2.717991, 143137311
467, 2.538273, 144442112
468, 3.597102, 144886813
469, 2.755596, 146202830
470, 2.561592, 147201566
471, 2.526663, 148528847
472, 2.577891, 148060719
473, 2.552964, 149399312
474, 2.548411, 150415080
475, 2.582636, 151765033
476, 2.700356, 152224478
477, 2.669082, 153585839
478, 2.596692, 154618783
479, 2.652445, 155991600
480, 2.812482, 152031896
481, 2.730099, 153416217
482, 2.926925, 154466481
483, 2.733436, 155862354
484, 2.648466, 156336783
485, 2.657910, 157744256
486, 2.780428, 158811984
487, 2.804791, 160231105
488, 2.831898, 159725913
489, 2.783049, 161156730
490, 2.816316, 162242066
491, 2.774950, 163684627
492, 2.658157, 164174280
493, 2.714422, 165628633
494, 2.830145, 166731721
495, 2.750298, 168197914
496, 2.695175, 166072887
497, 2.721456, 167550968
498, 2.892974, 168671952
499, 2.701803, 170161969
500, 2.719444, 170667086
501, 2.672288, 172169087
502, 2.692007, 173308111
503, 2.679426, 174822144
504, 2.817018, 174278496
505, 2.712477, 175804609
506, 2.717217, 176961817
507, 2.666570, 178500058
508, 2.819431, 179020879
509, 2.863055, 180571296
510, 2.721041, 181746832
511, 2.676256, 183309473
512, 8.433737, 280902385
513, 8.329133, 282477298
514, 8.804172, 283671306
515, 8.454579, 285258539
516, 8.400256, 285795304
517, 8.501932, 287394905
518, 8.748687, 288607529
519, 8.483437, 290219546
520, 8.423918, 289636050
521, 8.844958, 291260531
522, 8.471769, 292491915
523, 8.507142, 294128908
524, 8.657707, 294681857
525, 8.441182, 296331410
526, 8.579096, 297581698
527, 8.558475, 299243859
528, 8.617690, 296800408
529, 8.651006, 298475225
530, 8.510242, 299744561
531, 8.651233, 301432082
532, 8.785956, 302001455
533, 8.548600, 303701728
534, 8.455968, 304990256
535, 8.513317, 306703329
536, 8.542779, 306078593
537, 8.656796, 307804514
538, 8.615607, 309112378
539, 8.729508, 310851195
540, 8.577905, 311437232
541, 8.618589, 313188993
542, 8.678640, 314516337
543, 8.526274, 316281090
544, 8.693891, 310935426
545, 8.769582, 312713219
546, 8.651285, 314060187
547, 8.610205, 315851068
548, 8.725649, 316454009
549, 8.906439, 318258026
550, 8.736412, 319624762
551, 8.660833, 321441963
552, 8.764913, 320774595
553, 8.855066, 322605028
554, 8.671737, 323991676
555, 8.750430, 325835389
556, 8.387510, 326455474
557, 8.726733, 328312515
558, 8.695832, 329719219
559, 8.804901, 331589636
560, 8.936683, 328805729
561, 8.754265, 330689570
562, 8.592683, 332116474
563, 8.706406, 334013787
564, 8.730742, 334651256
565, 8.858116, 336562089
566, 8.604232, 338009337
567, 8.689395, 339933738
568, 8.698519, 339222346
569, 8.666452, 341160363
570, 8.647032, 342628099
571, 8.662544, 344579780
572, 8.588839, 345234873
573, 8.648154, 347200266
574, 8.685288, 348688634
575, 8.726761, 350667787
576, 8.965956, 341544424
577, 8.943039, 343537385
578, 8.769238, 345046529
579, 8.900880, 347053346
580, 8.917324, 347726303
581, 8.763237, 349747024
582, 8.826486, 351277088
583, 8.968508, 353311761
584, 8.955622, 352554953
585, 8.890345, 354603626
586, 8.927259, 356154754
587, 8.967256, 358217475
588, 8.941099, 358908536
589, 8.794573, 360985353
590, 8.974195, 362557689
591, 8.920873, 364648650
592, 8.878117, 361502255
593, 8.951341, 363607408
594, 8.921908, 365201096
595, 8.707664, 367320489
596, 8.824634, 368029894
597, 9.001184, 370163575
598, 8.789331, 371778759
599, 8.857449, 373926776
600, 8.923496, 373123160
601, 8.652613, 375285561
602, 8.707097, 376922385
603, 8.684893, 379099218
604, 8.756351, 379827207
605, 8.668152, 382018520
606, 8.704057, 383677128
607, 8.779362, 385882969
608, 8.832193, 378947969
609, 8.723708, 381168386
610, 8.726993, 382848922
611, 8.786007, 385083963
612, 8.692367, 385830776
613, 8.765298, 388080489
614, 8.867421, 389783097
615, 8.852096, 392047530
616, 8.780802, 391195714
617, 8.889249, 393474915
618, 8.783251, 395199739
619, 8.847972, 397493756
620, 8.822114, 398259633
621, 8.846007, 400568514
622, 8.809155, 402315698
623, 8.786814, 404639491
624, 8.862201, 401108576
625, 8.804831, 403447329
626, 8.740463, 405217017
627, 8.839571, 407570778
628, 8.882858, 408355959
629, 8.797649, 410724776
630, 9.008846, 412517112
631, 9.113978, 414901033
632, 9.058128, 413999625
633, 9.096999, 416398698
634, 9.170547, 418213826
635, 9.201204, 420628099
636, 9.125329, 421432824
637, 9.233003, 423862345
638, 9.144253, 425700409
639, 9.351772, 428145226
640, 9.902126, 417549330
641, 10.125824, 420009491
642, 10.006162, 421870635
643, 10.106806, 424346188
644, 9.888720, 425170697
645, 9.950279, 427661690
646, 10.071589, 429546058
647, 10.006314, 432052539
648, 10.060169, 431100147
649, 10.209178, 433622164
650, 9.909877, 435529900
651, 9.994343, 438067501
652, 10.181284, 438912034
653, 10.094719, 441465267
654, 10.050574, 443396515
655, 10.184690, 445965428
656, 10.140806, 442027961
657, 10.235381, 444612602
658, 10.245844, 446567506
659, 10.086869, 449167923
660, 10.047425, 450032720
661, 10.149339, 452648961
662, 10.087415, 454627665
663, 10.154393, 457259778
664, 10.159341, 456255010
665, 10.092151, 458903043
666, 10.153416, 460905691
667, 10.206495, 463569692
668, 10.204590, 464454993
669, 10.149658, 467135010
670, 10.216762, 469161746
671, 10.152725, 471857827
672, 10.269255, 463130115
673, 10.282831, 465842308
674, 10.286152, 467893276
675, 10.091119, 470621629
676, 10.210721, 471527674
677, 10.146440, 474272235
678, 10.156845, 476347579
679, 10.248274, 479108396
680, 10.066518, 478049860
681, 10.127233, 480826981
682, 10.247663, 482926845
683, 10.066830, 485720318
684, 10.181450, 486647347
685, 10.868120, 489457220
686, 10.244486, 491581748
687, 10.412234, 494408069
688, 10.510933, 490042018
689, 10.097839, 492884835
690, 10.373872, 495034171
691, 10.191657, 497893532
692, 10.276978, 498841785
693, 10.384074, 501717738
694, 10.186381, 503892026
695, 10.384493, 506784619
696, 10.228046, 505670923
697, 10.367543, 508580204
698, 10.261038, 510779588
699, 10.326758, 513705605
